CLASS,AUROC,AUPRC
571,0.3316186556927298,0.4641020395376211
571,0.3590916018899558,0.4160600325599071
571,0.41937204694406344,0.4642076069933882
084,0.4874638012498095,0.5409901255296454
084,0.34289742417314434,0.40316820258592523
084,0.3247599451303155,0.4155081800590425
661,0.4239064167047706,0.5022686902849087
661,0.5019814052735864,0.5210600602194194
661,0.20854290504496265,0.3469310594136368
857,0.401844231062338,0.4623444912055003
857,0.5097165066300868,0.5053543401402161
857,0.33600060966316114,0.39642204850886353
489,0.48071940253010215,0.577468711819112
489,0.18259411675049536,0.3377593417280708
489,0.22881420515165368,0.35541101499488365
969,0.4311461667428746,0.4882133777337434
969,0.2604404816338972,0.3815362097667924
969,0.3055555555555555,0.4208467853941231
177,0.3089849108367627,0.37688909409154625
177,0.41838134430727025,0.43548801965606854
177,0.2245084590763603,0.38119284328859926
541,0.47854747751867094,0.5640112668060704
541,0.4067596402987349,0.4858121523889478
541,0.37151348879743934,0.436275997050827
000,0.6255525072397501,0.6459027398762651
000,0.5904968754762994,0.6367777347904331
000,0.552621551592745,0.5737746624509812
380,0.41491388507849414,0.4474881492040396
380,0.3800106691053193,0.428262929922583
380,0.3597393689986283,0.42354460955703443
