CLASS,AUROC,AUPRC
571,0.30772748056698673,0.3991600565741068
571,0.21086724584666972,0.35560880503031556
571,0.6580551745160799,0.7312977989265101
084,0.28661789361377843,0.3859306391408656
084,0.30784179240969367,0.42495254253247006
084,0.6089772900472488,0.6603554898579422
661,0.33093278463648834,0.40268900764780435
661,0.3004115226337448,0.42116996194039297
661,0.7382639841487577,0.7963341493140766
857,0.46079103795153176,0.49781611759002775
857,0.19375857338820301,0.3419535983655063
857,0.4433013260173755,0.5227980947606483
489,0.49923792104862064,0.53798287325888
489,0.7713382106386222,0.7747217493083719
489,0.589772900472489,0.6458344568611806
969,0.5972793781435756,0.5475991469544286
969,0.4762231367169639,0.5537937538571159
969,0.5752171925011431,0.6141131320652479
177,0.47797591830513647,0.4761984194134511
177,0.36976070720926685,0.47127571760376996
177,0.7409693644261546,0.7635495012698529
541,0.26623228166438045,0.3724945053646644
541,0.39670019814052737,0.4711496890461968
541,0.5869151044048163,0.5959293101896804
000,0.2621932632220698,0.3629691500791281
000,0.3017070568510898,0.37466153327598983
000,0.35638622161255906,0.4339873671637423
380,0.597088858405731,0.5554538272109969
380,0.6200655387898186,0.6629399124661459
380,0.6657140679774425,0.7301245567380761
