CLASS,AUROC,AUPRC
571,0.7725575369608291,0.8120312482517595
571,0.7443987197073617,0.726814059182929
571,0.41258954427678707,0.49339540536028037
084,0.7230224051211707,0.7754563468102342
084,0.6130163084895596,0.604486893676278
084,0.13370675201950924,0.32821107992457516
661,0.8192348727328151,0.8707021718340011
661,0.7118960524310317,0.7472138638500501
661,0.4859015393994818,0.5621073316305489
857,0.5916780978509374,0.6609137788498827
857,0.6297058375247676,0.6476714788808926
857,0.49329370522786165,0.5475704918179156
489,0.6072245084590764,0.6930073805663823
489,0.2803307422648986,0.3841155342115775
489,0.30235482395976226,0.4100358586847285
969,0.6927678707514098,0.7275585006074943
969,0.3104709647919524,0.4011711870458188
969,0.4316034141137022,0.4841516945860993
177,0.5952979728699893,0.6012844195629551
177,0.7313671696387746,0.7188556719892492
177,0.38869836915104405,0.4729894128519271
541,0.8656835848193872,0.8837742227128973
541,0.6642661179698217,0.7023028664499001
541,0.6758116140832189,0.6515986068113735
000,0.7850937357110197,0.7976819889229562
000,0.7762155159274501,0.7788457290534817
000,0.8885840573083371,0.8942650181417752
380,0.7183737235177565,0.7669339991728152
380,0.4429964944368237,0.5121299716677761
380,0.4929888736473098,0.6147567762070206
