CLASS,AUROC,AUPRC
571,0.6420134125895443,0.7045253280907957
571,0.6739064167047707,0.6966751573586139
571,0.2146776406035665,0.37836518767017874
084,0.7069806431946349,0.7701616059972733
084,0.6685337600975461,0.7015775230197439
084,0.5041152263374485,0.5932763860206672
661,0.7168114616674288,0.7892867988130955
661,0.6857948483462888,0.7371249832891571
661,0.2797972869989331,0.3874414802071373
857,0.4953513183965859,0.5459076631278703
857,0.7745389422344154,0.7926077910326985
857,0.43952903520804754,0.48293909016714764
489,0.5559365950312452,0.6393716696165953
489,0.31538637402834935,0.4101476800144206
489,0.25339125133363816,0.3683534254711976
969,0.35962505715592136,0.4022319241120673
969,0.3432022557536961,0.4470625151174068
969,0.2868846212467612,0.3912679390307715
177,0.45160798658741047,0.5203148279103205
177,0.611111111111111,0.6649183914527423
177,0.26348879743941467,0.4098363970745817
541,0.6468526139308033,0.6834064086040239
541,0.6019280597469898,0.6334017159727803
541,0.41876238378295993,0.4623414255893399
000,0.8196159122085047,0.8505860457519397
000,0.7909236396890718,0.8220617367679017
000,0.8287989635726262,0.874132901657208
380,0.3962810547172687,0.4810789335245644
380,0.43388965096784027,0.5396284529357043
380,0.24302697759487885,0.39998191475349354
