class,model,kernel,mmd²,p_value,effect_size,params
084,midj,mixed_kernel,0.08801108598709106,0.0019960079807788134,0.08801108598709106,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(609.1599, device='cuda:0'), 'alpha': 0.5}"
084,midj,w2_ot,21.912968416874577,,,{}
084,sd_15,rbf_kernel,0.3497062921524048,0.0019960079807788134,0.00021853635553270578,"{'gamma': tensor(0.0006, device='cuda:0')}"
084,sd_15,laplacian_kernel,0.28633177280426025,0.0019960079807788134,0.0004700436838902533,"{'sigma': tensor(609.1599, device='cuda:0')}"
084,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 2.4235,  0.4772, -0.1313,  ..., -0.0587, -0.2122,  0.1202],
        [ 0.4772,  3.3612, -0.1411,  ...,  0.3219, -0.0322,  0.7785],
        [-0.1314, -0.1411,  2.8656,  ..., -0.2640, -0.2867,  0.1721],
        ...,
        [-0.0587,  0.3219, -0.2640,  ...,  2.2960,  0.3429,  0.0448],
        [-0.2122, -0.0322, -0.2868,  ...,  0.3430,  2.6716, -0.1228],
        [ 0.1202,  0.7785,  0.1721,  ...,  0.0449, -0.1228,  2.6240]],
       device='cuda:0')}"
084,sd_15,mixed_kernel,0.31801897287368774,0.0019960079807788134,0.31801897287368774,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(609.1599, device='cuda:0'), 'alpha': 0.5}"
084,sd_15,w2_ot,30.042941250165118,,,{}
661,bgan,rbf_kernel,0.21143966913223267,0.0019960079807788134,0.0003216798068024218,"{'gamma': tensor(0.0015, device='cuda:0')}"
661,bgan,laplacian_kernel,0.12679553031921387,0.0019960079807788134,0.00032036230550147593,"{'sigma': tensor(395.7879, device='cuda:0')}"
661,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 7.2216, -0.2468,  0.3366,  ..., -0.2539, -0.0504, -0.8044],
        [-0.2468,  7.2534, -0.6563,  ...,  0.2722,  0.4365,  0.0871],
        [ 0.3367, -0.6563,  4.8200,  ..., -0.3538, -0.6484,  1.1499],
        ...,
        [-0.2539,  0.2723, -0.3538,  ...,  5.6108, -0.3155,  0.2621],
        [-0.0503,  0.4365, -0.6483,  ..., -0.3155,  7.0598, -0.5703],
        [-0.8043,  0.0871,  1.1500,  ...,  0.2619, -0.5704,  6.9159]],
       device='cuda:0')}"
661,bgan,mixed_kernel,0.1691175103187561,0.0019960079807788134,0.1691175103187561,"{'gamma_rbf': tensor(0.0015, device='cuda:0'), 'sigma_lap': tensor(395.7879, device='cuda:0'), 'alpha': 0.5}"
661,bgan,w2_ot,19.61909259046939,,,{}
661,midj,rbf_kernel,0.09181249141693115,0.0019960079807788134,0.00013968156417831779,"{'gamma': tensor(0.0015, device='cuda:0')}"
661,midj,laplacian_kernel,0.052261173725128174,0.0019960079807788134,0.00013204338029026985,"{'sigma': tensor(395.7879, device='cuda:0')}"
661,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 9.4855,  1.0623,  0.5526,  ...,  0.7553,  0.5066,  0.0155],
        [ 1.0623,  7.9697,  0.0266,  ...,  0.2085, -0.0529, -0.1308],
        [ 0.5525,  0.0265,  7.2105,  ..., -0.3617, -0.9623,  1.0392],
        ...,
        [ 0.7553,  0.2084, -0.3617,  ...,  8.0796,  0.5305,  0.6955],
        [ 0.5066, -0.0529, -0.9623,  ...,  0.5305,  6.5862, -0.5396],
        [ 0.0154, -0.1308,  1.0391,  ...,  0.6955, -0.5396,  7.3576]],
       device='cuda:0')}"
661,midj,mixed_kernel,0.07203692197799683,0.0019960079807788134,0.07203692197799683,"{'gamma_rbf': tensor(0.0015, device='cuda:0'), 'sigma_lap': tensor(395.7879, device='cuda:0'), 'alpha': 0.5}"
661,midj,w2_ot,17.358927310841207,,,{}
661,sd_15,rbf_kernel,0.10422825813293457,0.0019960079807788134,0.00015857064863666892,"{'gamma': tensor(0.0015, device='cuda:0')}"
661,sd_15,laplacian_kernel,0.07418304681777954,0.0019960079807788134,0.00018743130203802139,"{'sigma': tensor(395.7879, device='cuda:0')}"
