class,model,metric,distance,p_value,effect_size,params
571,baseline,rbf_kernel,-0.0008568763732910156,0.8982036113739014,-5.779717866971623e-06,0.006745100952684879
571,baseline,laplacian_kernel,-0.0005298852920532227,0.8642714619636536,-2.4241483487230653e-08,147.8466033935547
571,baseline,w2_ot,6.750310778168059,,,
571,baseline,fd,15.511825561523438,,,
571,bgan,rbf_kernel,0.13453364372253418,0.0019960079807788134,0.0009074429981410503,0.006745100952684879
571,bgan,laplacian_kernel,0.08532309532165527,0.0019960079807788134,3.903407559846528e-06,147.8466033935547
571,bgan,w2_ot,7.823298093231241,,,
571,bgan,fd,36.55409240722656,,,
571,midj,rbf_kernel,0.0931018590927124,0.0019960079807788134,0.0006279814406298101,0.006745100952684879
571,midj,laplacian_kernel,0.05440324544906616,0.0019960079807788134,2.488869540684391e-06,147.8466033935547
571,midj,w2_ot,7.806241320211843,,,
571,midj,fd,34.24394989013672,,,
571,sd_15,rbf_kernel,0.15381407737731934,0.0019960079807788134,0.0010374914854764938,0.006745100952684879
571,sd_15,laplacian_kernel,0.10719132423400879,0.0019960079807788134,4.903847639070591e-06,147.8466033935547
571,sd_15,w2_ot,7.511642198515483,,,
571,sd_15,fd,37.915733337402344,,,
084,baseline,rbf_kernel,-0.0006964206695556641,0.7804391384124756,-6.986359039728995e-06,0.010031809099018574
084,baseline,laplacian_kernel,-0.00048810243606567383,0.802395224571228,-3.2172554398357534e-08,123.17220306396484
084,baseline,w2_ot,5.351450348581527,,,
084,baseline,fd,7.792591094970703,,,
084,bgan,rbf_kernel,0.11883664131164551,0.0019960079807788134,0.0011921464465558529,0.010031809099018574
084,bgan,laplacian_kernel,0.08121222257614136,0.0019960079807788134,5.352984317141818e-06,123.17220306396484
084,bgan,w2_ot,6.282143424269015,,,
084,bgan,fd,22.328510284423828,,,
084,midj,rbf_kernel,0.1336756944656372,0.0019960079807788134,0.001341009046882391,0.010031809099018574
084,midj,laplacian_kernel,0.09160083532333374,0.0019960079807788134,6.03773469265434e-06,123.17220306396484
084,midj,w2_ot,6.35443229560145,,,
084,midj,fd,23.770065307617188,,,
084,sd_15,rbf_kernel,0.21919715404510498,0.0019960079807788134,0.0021989441011101007,0.010031809099018574
084,sd_15,laplacian_kernel,0.14588046073913574,0.0019960079807788134,9.615496310289018e-06,123.17220306396484
084,sd_15,w2_ot,6.710371067318937,,,
084,sd_15,fd,30.76315689086914,,,
661,baseline,rbf_kernel,0.0008143186569213867,0.16167664527893066,7.567345164716244e-06,0.00929285492748022
661,baseline,laplacian_kernel,0.0004799962043762207,0.1816367208957672,2.997957437855803e-08,126.53369140625
661,baseline,w2_ot,5.69989576469562,,,
661,baseline,fd,9.831378936767578,,,
661,bgan,rbf_kernel,0.135306715965271,0.0019960079807788134,0.001257385709322989,0.00929285492748022
661,bgan,laplacian_kernel,0.10257571935653687,0.0019960079807788134,6.406668035197072e-06,126.53369140625
661,bgan,w2_ot,6.5154508314495825,,,
661,bgan,fd,24.928199768066406,,,
661,midj,rbf_kernel,0.08918023109436035,0.0019960079807788134,0.0008287389646284282,0.00929285492748022
661,midj,laplacian_kernel,0.05482441186904907,0.0019960079807788134,3.4242195852129953e-06,126.53369140625
661,midj,w2_ot,6.575116473173875,,,
661,midj,fd,23.177562713623047,,,
661,sd_15,rbf_kernel,0.16615045070648193,0.0019960079807788134,0.001544011989608407,0.00929285492748022
661,sd_15,laplacian_kernel,0.13296037912368774,0.0019960079807788134,8.304430593852885e-06,126.53369140625
661,sd_15,w2_ot,6.314508909040011,,,
661,sd_15,fd,27.056903839111328,,,
857,baseline,rbf_kernel,-0.00044226646423339844,0.6467065811157227,-2.83538633993885e-06,0.006411036476492882
857,baseline,laplacian_kernel,-0.0001252889633178711,0.5548902153968811,-5.476427755723989e-09,151.25430297851562
857,baseline,w2_ot,6.495383569586124,,,
857,baseline,fd,13.126091003417969,,,
857,bgan,rbf_kernel,0.10074567794799805,0.0019960079807788134,0.0006458841962739825,0.006411036476492882
857,bgan,laplacian_kernel,0.08229798078536987,0.0019960079807788134,3.597275735955918e-06,151.25430297851562
857,bgan,w2_ot,7.236397680399336,,,
857,bgan,fd,30.4842529296875,,,
857,midj,rbf_kernel,0.10571610927581787,0.0019960079807788134,0.0006777498056180775,0.006411036476492882
857,midj,laplacian_kernel,0.058167099952697754,0.0019960079807788134,2.542505853853072e-06,151.25430297851562
857,midj,w2_ot,8.143248737451165,,,
857,midj,fd,38.920997619628906,,,
857,sd_15,rbf_kernel,0.10507464408874512,0.0019960079807788134,0.0006736373761668801,0.006411036476492882
857,sd_15,laplacian_kernel,0.07776063680648804,0.0019960079807788134,3.398946546440129e-06,151.25430297851562
857,sd_15,w2_ot,7.391133744202669,,,
857,sd_15,fd,32.131629943847656,,,
489,baseline,rbf_kernel,-0.00046956539154052734,0.7045907974243164,-2.879100293284864e-06,0.006131414789706469
489,baseline,laplacian_kernel,-0.00024646520614624023,0.682634711265564,-1.0516104431701478e-08,153.09124755859375
489,baseline,w2_ot,7.098832443993956,,,
489,baseline,fd,18.085205078125,,,
489,bgan,rbf_kernel,0.1349318027496338,0.0019960079807788134,0.0008273228304460645,0.006131414789706469
489,bgan,laplacian_kernel,0.09355384111404419,0.0019960079807788134,3.991727680840995e-06,153.09124755859375
489,bgan,w2_ot,8.019393208857615,,,
489,bgan,fd,39.959014892578125,,,
489,midj,rbf_kernel,0.14871859550476074,0.0019960079807788134,0.0009118553716689348,0.006131414789706469
489,midj,laplacian_kernel,0.09997671842575073,0.0019960079807788134,4.265777079126565e-06,153.09124755859375
489,midj,w2_ot,7.829878818654527,,,
489,midj,fd,39.22686004638672,,,
489,sd_15,rbf_kernel,0.08599567413330078,0.0019960079807788134,0.000527275144122541,0.006131414789706469
489,sd_15,laplacian_kernel,0.06399333477020264,0.0019960079807788134,2.7304486138746142e-06,153.09124755859375
489,sd_15,w2_ot,7.487966168839108,,,
489,sd_15,fd,31.405040740966797,,,
969,baseline,rbf_kernel,-0.0001373291015625,0.49301397800445557,-9.117920853896067e-07,0.006639467552304268
969,baseline,laplacian_kernel,-3.272294998168945e-05,0.45708581805229187,-1.4270199466537292e-09,151.42974853515625
969,baseline,w2_ot,6.603409014256794,,,
969,baseline,fd,14.2734375,,,
969,bgan,rbf_kernel,0.08405840396881104,0.0019960079807788134,0.0005581030272878706,0.006639467552304268
969,bgan,laplacian_kernel,0.06342214345932007,0.0019960079807788134,2.7657856662699487e-06,151.42974853515625
969,bgan,w2_ot,7.088260813346578,,,
969,bgan,fd,28.697620391845703,,,
969,midj,rbf_kernel,0.10765194892883301,0.0019960079807788134,0.000714751600753516,0.006639467552304268
969,midj,laplacian_kernel,0.07376950979232788,0.0019960079807788134,3.2170255508390255e-06,151.42974853515625
969,midj,w2_ot,7.308439703183007,,,
969,midj,fd,32.22517395019531,,,
969,sd_15,rbf_kernel,0.15790581703186035,0.0019960079807788134,0.0010484105441719294,0.006639467552304268
969,sd_15,laplacian_kernel,0.10960763692855835,0.0019960079807788134,4.779895789397415e-06,151.42974853515625
969,sd_15,w2_ot,7.514357399647,,,
969,sd_15,fd,37.593082427978516,,,
177,baseline,rbf_kernel,-0.0009014606475830078,0.8822355270385742,-6.29822625342058e-06,0.00698669021949172
177,baseline,laplacian_kernel,-0.0006934404373168945,0.9261476993560791,-3.271635051760313e-08,145.58685302734375
177,baseline,w2_ot,6.313924634498215,,,
177,baseline,fd,11.781009674072266,,,
177,bgan,rbf_kernel,0.08541321754455566,0.0019960079807788134,0.0005967557081021369,0.00698669021949172
177,bgan,laplacian_kernel,0.06840294599533081,0.0019960079807788134,3.227234401492751e-06,145.58685302734375
177,bgan,w2_ot,6.919482916169424,,,
177,bgan,fd,26.20663833618164,,,
177,midj,rbf_kernel,0.08521091938018799,0.0019960079807788134,0.000595342309679836,0.00698669021949172
177,midj,laplacian_kernel,0.05821037292480469,0.0019960079807788134,2.746351128735114e-06,145.58685302734375
177,midj,w2_ot,7.2446633189499074,,,
177,midj,fd,29.93738555908203,,,
177,sd_15,rbf_kernel,0.12756335735321045,0.0019960079807788134,0.0008912456687539816,0.00698669021949172
177,sd_15,laplacian_kernel,0.10982096195220947,0.0019960079807788134,5.181326287129195e-06,145.58685302734375
177,sd_15,w2_ot,6.9728931173456195,,,
177,sd_15,fd,31.493501663208008,,,
541,baseline,rbf_kernel,-0.0008577108383178711,0.8143712282180786,-5.077226887806319e-06,0.005919508635997772
541,baseline,laplacian_kernel,-0.0004965662956237793,0.8103792667388916,-2.1173935493834506e-08,153.13970947265625
541,baseline,w2_ot,6.77327235272564,,,
541,baseline,fd,15.035186767578125,,,
541,bgan,rbf_kernel,0.12437403202056885,0.0019960079807788134,0.0007362331380136311,0.005919508635997772
541,bgan,laplacian_kernel,0.082069993019104,0.0019960079807788134,3.4995221085409867e-06,153.13970947265625
541,bgan,w2_ot,8.193461570056945,,,
541,bgan,fd,40.68592071533203,,,
541,midj,rbf_kernel,0.11919212341308594,0.0019960079807788134,0.0007055588066577911,0.005919508635997772
541,midj,laplacian_kernel,0.07209271192550659,0.0019960079807788134,3.0740839065401815e-06,153.13970947265625
541,midj,w2_ot,8.370881841756102,,,
541,midj,fd,42.621307373046875,,,
541,sd_15,rbf_kernel,0.09819662570953369,0.0019960079807788134,0.0005812757881358266,0.005919508635997772
541,sd_15,laplacian_kernel,0.058826744556427,0.0019960079807788134,2.5084136723307893e-06,153.13970947265625
541,sd_15,w2_ot,7.733498711114836,,,
541,sd_15,fd,35.32255554199219,,,
000,baseline,rbf_kernel,0.002642512321472168,0.023952096700668335,2.4347726139239967e-05,0.009213855490088463
000,baseline,laplacian_kernel,0.00146484375,0.03992015868425369,9.212621421283984e-08,126.09679412841797
000,baseline,w2_ot,5.509918893361296,,,
000,baseline,fd,7.536582946777344,,,
000,bgan,rbf_kernel,0.1091916561126709,0.0019960079807788134,0.0010060761123895645,0.009213855490088463
000,bgan,laplacian_kernel,0.0752859115600586,0.0019960079807788134,4.734843514597742e-06,126.09679412841797
000,bgan,w2_ot,6.504131225138924,,,
000,bgan,fd,24.556495666503906,,,
000,midj,rbf_kernel,0.24742555618286133,0.0019960079807788134,0.002279743319377303,0.009213855490088463
000,midj,laplacian_kernel,0.1371239423751831,0.0019960079807788134,8.623929716122802e-06,126.09679412841797
000,midj,w2_ot,7.775539112348052,,,
000,midj,fd,42.36077117919922,,,
000,sd_15,rbf_kernel,0.25139081478118896,0.0019960079807788134,0.002316278638318181,0.009213855490088463
000,sd_15,laplacian_kernel,0.14979088306427002,0.0019960079807788134,9.420572496310342e-06,126.09679412841797
000,sd_15,w2_ot,7.5274574552594276,,,
