CLASS,AUROC,AUPRC
571,0.06999695168419448,0.3140744553613708
571,0.23174820911446425,0.35652716379325916
571,0.502286236854138,0.5288492072354438
084,0.13290656912056092,0.3256061720595824
084,0.48201493674744705,0.5336355289440678
084,0.8486892242036275,0.8187725428459235
661,0.10459533607681756,0.32232572061984943
661,0.27511050144795,0.3864251651083167
661,0.4435680536503581,0.541021123119287
857,0.13717421124828533,0.3356575313220117
857,0.18895747599451304,0.3411742300591937
857,0.45492303002591067,0.5253495169603304
489,0.09636488340192044,0.31911905436860116
489,0.7079332418838591,0.7231973073553999
489,0.4266499009297363,0.4655036103926436
969,0.18453741807651275,0.3469434712540905
969,0.4846441091297058,0.5678300892177006
969,0.5065919829294314,0.5144153926257373
177,0.30803231214753846,0.3845453849164763
177,0.27301478433165677,0.3743299853798365
177,0.3317329675354367,0.46630757700637154
541,0.04709647919524464,0.3105604924832597
541,0.20137936290199665,0.3428844536805354
541,0.2186404511507392,0.3478366466499532
000,0.105281207133059,0.3193465549002389
000,0.11873190062490475,0.32330071786812364
000,0.06805365035817713,0.3210682160088974
380,0.24157902758725805,0.35847875662531725
380,0.5629096174363664,0.5867615126298231
380,0.531169029111416,0.6087207660868483
