CLASS,AUROC,AUPRC
571,0.48365340649291266,0.49742836822982134
571,0.6302773967383021,0.5867235631126627
571,0.6547782350251485,0.6431545612501516
084,0.3794010059442158,0.4274889789183135
084,0.6810318549001676,0.6961926839136965
084,0.8141289437585734,0.8287533308421384
661,0.4266499009297363,0.4645976173096943
661,0.47892851699436056,0.48439433072578203
661,0.5628334095412284,0.5860701912877271
857,0.2657369303459839,0.37041937495491717
857,0.41460905349794247,0.461171820588227
857,0.38622161255906107,0.4309157472119489
489,0.1790885535741503,0.3367430800896528
489,0.5723212924859016,0.6117998491945099
489,0.7384163999390337,0.7215783466804939
969,0.41072245084590764,0.4462632145023756
969,0.4984377381496723,0.5217493313210894
969,0.5021338210638622,0.5279583668288605
177,0.46410608139003207,0.48961441058275323
177,0.6977975918305137,0.6763465014045591
177,0.2401691815272062,0.36128455630262835
541,0.37631458619112945,0.4101289656101542
541,0.447226032616979,0.4559291910551321
541,0.3890032007315957,0.4186943074059272
000,0.37966773357719863,0.4188035744821301
000,0.4947416552354824,0.5479766424408169
000,0.46974546563023933,0.5416135497589067
380,0.36427373875933544,0.4001855388974498
380,0.40900777320530407,0.42673086273080324
380,0.3274653254077122,0.40367307809082564
