CLASS,AUROC,AUPRC
571,0.9154854442920288,0.944017589846723
571,0.7947721383935377,0.8086580055023196
571,0.4666971498247219,0.5558408020822307
084,0.9064929126657522,0.9202490238527652
084,0.5486206370980032,0.60165943929919
084,0.16929583904892545,0.3667110042222115
661,0.9021871665904588,0.9349808522083359
661,0.7543819539704313,0.783973393136028
661,0.5587181832037799,0.6441547528253851
857,0.8654168571864044,0.9056395209258329
857,0.7695473251028807,0.7526966152541757
857,0.5039628105471727,0.5775358930774517
489,0.8845450388660265,0.9060612709395464
489,0.20686633135192806,0.34559549772294706
489,0.41361835086114923,0.46439615772345394
969,0.8502514860539553,0.8833136374454056
969,0.3093278463648834,0.39515072218355474
969,0.4264974851394605,0.42611749000957244
177,0.6837372351775646,0.7182699159144861
177,0.8153101661332114,0.819111890480828
177,0.583714372809023,0.6948751366534469
541,0.9298125285779606,0.9451474393479737
541,0.7726337448559671,0.798411202973272
541,0.7715287303764669,0.7632546106168838
000,0.9261926535589088,0.9441541320044672
000,0.8966620941929583,0.921003745783186
000,0.9579713458314281,0.9723495561003612
380,0.7507239750038104,0.7954167603162369
380,0.4518747142203932,0.5466619193016335
380,0.4852918762383783,0.6208988682204939
