CLASS,AUROC,AUPRC
571,0.5329599146471574,0.5179508587382112
571,0.4047782350251486,0.416129992612336
571,0.4624295076969974,0.5105796874396498
084,0.5793705227861606,0.5643445354930541
084,0.40066300868770005,0.41871091302376084
084,0.2580780368846213,0.3965743017930774
661,0.5051821368693796,0.5268711192924975
661,0.5187471422039324,0.526000677447847
661,0.5020957171162932,0.5401376602980448
857,0.6712772443225119,0.6767109075012592
857,0.6555022100289589,0.6544217623221065
857,0.5595183661027283,0.6013611148918664
489,0.681870141746685,0.6823902141520964
489,0.488073464410913,0.5199268689671618
489,0.3547858558146624,0.4239010122829
969,0.5367322054564853,0.5510835753823204
969,0.5621094345374181,0.5217033372657338
969,0.5430955647005029,0.587245869413955
177,0.5066681908245694,0.49527338009916255
177,0.3543667123914037,0.3940163987858426
177,0.6593507087334248,0.7069719028371475
541,0.6073388203017833,0.5761832118063609
541,0.5432479804907788,0.5458600645048473
541,0.525186709343088,0.5583257769661021
000,0.6204084743179394,0.6174167088339797
000,0.525148605395519,0.5399492183033263
000,0.5246532540771224,0.5667390323391914
380,0.5428288370675202,0.5453123714587065
380,0.5425240054869684,0.5759834711394423
380,0.5945739978661789,0.6494089265604235
