CLASS,GENERATOR,AUROC,AUPRC,FPR95
571,bgan,0.8215973174820911,0.8643581790902481,0.8271604938271605
571,midj,0.6938728852309098,0.6898532264381894,0.8703703703703703
571,sd_15,0.48399634202103337,0.5324539384232425,0.9938271604938271
084,bgan,0.8020880963267796,0.8176586472478422,0.691358024691358
084,midj,0.5236625514403292,0.5319316235834732,0.9938271604938271
084,sd_15,0.31797744246303916,0.42274024426200885,1.0
661,bgan,0.8270461819844535,0.8694184044734119,0.7962962962962963
661,midj,0.6956637707666513,0.7329697300159647,0.9074074074074074
661,sd_15,0.4698597774729462,0.5458893539047688,1.0
857,bgan,0.6440710257582686,0.6635229614207356,0.8765432098765432
857,midj,0.691434232586496,0.6326400621704364,0.7530864197530864
857,sd_15,0.39239445206523405,0.42946496198650347,0.9876543209876543
489,bgan,0.8981862520957171,0.9173659349256744,0.49382716049382713
489,midj,0.2670705685108977,0.38070600349695644,1.0
489,sd_15,0.5352842554488645,0.5812765147324508,0.9382716049382716
969,bgan,0.6499771376314586,0.681508426740459,0.9135802469135802
969,midj,0.3744855967078189,0.42102359127977235,0.9938271604938271
969,sd_15,0.39666209419295834,0.4135121930051971,0.9567901234567902
177,bgan,0.6087486663618351,0.6302608717384173,0.9012345679012346
177,midj,0.7014174668495656,0.6994979109883473,0.9012345679012346
177,sd_15,0.5160417619265355,0.5731448586109416,0.9876543209876543
541,bgan,0.8750952598689224,0.8845181682756873,0.5432098765432098
541,midj,0.7547248894985519,0.7405914253073851,0.7037037037037037
541,sd_15,0.7019509221155311,0.6711127214210042,0.6975308641975309
000,bgan,0.8029644871208657,0.8318983493947845,0.7530864197530864
000,midj,0.8858024691358025,0.9129218771850307,0.7654320987654321
000,sd_15,0.8827541533302851,0.9182248866930666,0.8333333333333334
380,bgan,0.6449474165523548,0.6473065194196153,0.7716049382716049
380,midj,0.46623990245389424,0.48538448976559034,0.9629629629629629
380,sd_15,0.372008840115836,0.439100588084128,0.9814814814814815
