class,model,metric,distance,p_value,effect_size,params
571,baseline,rbf_kernel,0.0011615753173828125,0.2894211709499359,0.005292534362524748,4.556342124938965
571,baseline,laplacian_kernel,-0.000390470027923584,0.5369261503219604,-0.00016728934133425355,1.5277761220932007
571,baseline,w2_ot,0.13475279631060041,,,
571,baseline,fd,0.002141013741493225,,,
571,bgan,rbf_kernel,0.016713500022888184,0.0019960079807788134,0.07615242153406143,4.556342124938965
571,bgan,laplacian_kernel,0.13429319858551025,0.0019960079807788134,0.0575353279709816,1.5277761220932007
571,bgan,w2_ot,0.14759165805183286,,,
571,bgan,fd,0.00615827739238739,,,
571,midj,rbf_kernel,0.06069093942642212,0.0019960079807788134,0.2765286862850189,4.556342124938965
571,midj,laplacian_kernel,0.05305355787277222,0.0019960079807788134,0.022729773074388504,1.5277761220932007
571,midj,w2_ot,0.29096884990729704,,,
571,midj,fd,0.06296299397945404,,,
571,sd_15,rbf_kernel,0.10447978973388672,0.0019960079807788134,0.4760456681251526,4.556342124938965
571,sd_15,laplacian_kernel,0.11924093961715698,0.0019960079807788134,0.05108647793531418,1.5277761220932007
571,sd_15,w2_ot,0.21044019199799888,,,
571,sd_15,fd,0.03129523992538452,,,
084,baseline,rbf_kernel,-0.0018870830535888672,0.7824351191520691,-0.009375517256557941,4.968258857727051
084,baseline,laplacian_kernel,-0.0006542801856994629,0.6247504949569702,-0.0002597101265564561,1.5872211456298828
084,baseline,w2_ot,0.1289371686822316,,,
084,baseline,fd,0.0011705458164215088,,,
084,bgan,rbf_kernel,0.021625041961669922,0.0019960079807788134,0.10743880271911621,4.968258857727051
084,bgan,laplacian_kernel,0.15686392784118652,0.0019960079807788134,0.062265604734420776,1.5872211456298828
084,bgan,w2_ot,0.14733179709139604,,,
084,bgan,fd,0.008544690907001495,,,
084,midj,rbf_kernel,0.07952272891998291,0.0019960079807788134,0.3950895071029663,4.968258857727051
084,midj,laplacian_kernel,0.10543966293334961,0.0019960079807788134,0.041853245347738266,1.5872211456298828
084,midj,w2_ot,0.2157113582803983,,,
084,midj,fd,0.029084399342536926,,,
084,sd_15,rbf_kernel,0.14713215827941895,0.0019960079807788134,0.7309906482696533,4.968258857727051
084,sd_15,laplacian_kernel,0.3003121316432953,0.0019960079807788134,0.11920596659183502,1.5872211456298828
084,sd_15,w2_ot,0.22344601160397023,,,
084,sd_15,fd,0.03828266263008118,,,
661,baseline,rbf_kernel,0.0011005401611328125,0.24750499427318573,0.004341107327491045,3.9445242881774902
661,baseline,laplacian_kernel,0.002175271511077881,0.053892213851213455,0.0009256628109142184,1.5329582691192627
661,baseline,w2_ot,0.1369973406680713,,,
661,baseline,fd,0.0031836777925491333,,,
661,bgan,rbf_kernel,0.02812504768371582,0.0019960079807788134,0.11093993484973907,3.9445242881774902
661,bgan,laplacian_kernel,0.16820847988128662,0.0019960079807788134,0.07157926261425018,1.5329582691192627
661,bgan,w2_ot,0.15952090311757727,,,
661,bgan,fd,0.011680662631988525,,,
661,midj,rbf_kernel,0.016348600387573242,0.0019960079807788134,0.06448744982481003,3.9445242881774902
661,midj,laplacian_kernel,0.03474694490432739,0.0019960079807788134,0.014786179177463055,1.5329582691192627
661,midj,w2_ot,0.15442739086280283,,,
661,midj,fd,0.007104203104972839,,,
661,sd_15,rbf_kernel,0.08398199081420898,0.0019960079807788134,0.3312689960002899,3.9445242881774902
661,sd_15,laplacian_kernel,0.0751083493232727,0.0019960079807788134,0.031961530447006226,1.5329582691192627
661,sd_15,w2_ot,0.20357728915954432,,,
661,sd_15,fd,0.028415754437446594,,,
857,baseline,rbf_kernel,0.0007573366165161133,0.2654690742492676,0.002851426135748625,3.765070915222168
857,baseline,laplacian_kernel,0.0006816983222961426,0.269461065530777,0.00025728889158926904,1.627742052078247
857,baseline,w2_ot,0.1410615043978014,,,
857,baseline,fd,0.0037273168563842773,,,
857,bgan,rbf_kernel,0.03400921821594238,0.0019960079807788134,0.1280471235513687,3.765070915222168
857,bgan,laplacian_kernel,0.15778815746307373,0.0019960079807788134,0.05955294147133827,1.627742052078247
857,bgan,w2_ot,0.1689115861288865,,,
857,bgan,fd,0.01755906641483307,,,
857,midj,rbf_kernel,0.11505615711212158,0.0019960079807788134,0.4331945776939392,3.765070915222168
857,midj,laplacian_kernel,0.09512674808502197,0.0019960079807788134,0.03590306267142296,1.627742052078247
857,midj,w2_ot,0.2664094125176648,,,
857,midj,fd,0.058760493993759155,,,
857,sd_15,rbf_kernel,0.06938731670379639,0.0019960079807788134,0.2612481713294983,3.765070915222168
857,sd_15,laplacian_kernel,0.04473644495010376,0.0019960079807788134,0.016884582117199898,1.627742052078247
857,sd_15,w2_ot,0.22380171161478316,,,
857,sd_15,fd,0.036503978073596954,,,
489,baseline,rbf_kernel,-0.0015643835067749023,0.6906187534332275,-0.005851631984114647,3.7405354976654053
489,baseline,laplacian_kernel,0.0045716166496276855,0.013972056098282337,0.0010811120737344027,2.0563619136810303
489,baseline,w2_ot,0.15910858303319889,,,
489,baseline,fd,0.002667531371116638,,,
489,bgan,rbf_kernel,0.0610651969909668,0.0019960079807788134,0.2284165322780609,3.7405354976654053
489,bgan,laplacian_kernel,0.12029176950454712,0.0019960079807788134,0.028447022661566734,2.0563619136810303
489,bgan,w2_ot,0.20146954551160384,,,
489,bgan,fd,0.02641933411359787,,,
489,midj,rbf_kernel,0.07362747192382812,0.0019960079807788134,0.2754061818122864,3.7405354976654053
489,midj,laplacian_kernel,0.04375094175338745,0.0019960079807788134,0.01034637726843357,2.0563619136810303
489,midj,w2_ot,0.22650102563237753,,,
489,midj,fd,0.030354797840118408,,,
