GENERATOR,AUROC,AUPRC,FPR95
sd_14,0.9999996944444445,0.9999996942706406,0.0
sd_15,0.9998297890625,0.999851847174723,0.0
midj,0.9966109027777779,0.9972045621823169,0.01
adm,0.9340076944444444,0.9447558129434749,0.4033333333333333
wukong,0.9999972222222222,0.9999972567130709,0.0
glide,0.9744499583333333,0.9733779458157148,0.0825
vqdm,0.9635694444444445,0.9699920504322801,0.17233333333333334
bgan,0.9848160694444443,0.9804897829686119,0.051333333333333335
