,GENERATOR,AUROC,AUPRC,FPR95
0,adm,0.5981259036814592,0.6042961251294584,0.7267267267267268
1,bgan,0.7635691246802357,0.7568486265245524,0.47330663997330663
2,glide,0.7487487487487487,0.7412767475267475,0.4310977644310977
3,midj,0.5932877321766211,0.6133978555274852,0.6488154821488155
4,sd_14,0.5966244021799578,0.6225998003775781,0.6134467801134468
5,sd_15,0.5899962462462462,0.6115534382895493,0.6514014014014013
6,vqdm,0.8077521966410856,0.8004004244744984,0.4285952619285952
7,wukong,0.7204426648871094,0.7253783786191194,0.4651317984651318
8,average,0.677318377405183,0.6844689245586236,0.5548152318985652
