GENERATOR,AUROC,AUPRC,FPR95
adm,0.6395962083333334,0.6754059904455245,0.9428333333333333
bgan,0.803197111111111,0.7656517014047645,0.5923333333333334
glide,0.9174768888888889,0.9221742006357854,0.44583333333333336
midj,0.8092533194444445,0.810955513791197,0.6895
sd_14,0.5602262777777778,0.5493688126420764,0.9003333333333333
sd_15,0.5630705859375,0.5501652500474099,0.89725
vqdm,0.4912112638888889,0.520222676466287,0.9826666666666667
wukong,0.6239498611111111,0.6072865351088843,0.8705
